"TDS","NO2+NO3","Ca","Mg","Na","K","Cl","SO4","F","HCO3","pH_GEN","HAR_Total","SAR","WQI","ClassLabel-No"
"276","11","32","9","53","2","53","17","0.26","122","7.7","115","2.13243","700.09243","1"
"175","6","22","10","23","1","28","34","0.23","61","7.8","95","1.020864","464.050864","1"
"404","5","52","15","58","20","53","77","0.47","214","7.9","190","1.823238","1098.193238","1"
"350","0","40","34","46","2","53","41","0.48","268","8.1","240","1.292377","1083.872377","1"
"1483","24","72","61","322","84","390","240","0.42","415","7.8","430","6.749407","3535.969407","4"
"1432","26","56","61","311","86","432","240","0.51","262","8","390","6.843795","3311.353795","4"
"535","2","116","1","92","2","64","29","0.64","445","7.5","295","2.335613","1591.475613","1"
"283","1","58","10","37","2","43","19","0.44","220","7.6","185","1.180493","867.220493","1"
"320","3","46","17","44","11","25","36","0.62","232","8.5","185","1.408163","929.528163","1"
"968","7","96","97","117","4","411","72","0.35","244","8.4","640","2.013829","2666.763829","2"
"903","7","92","58","150","9","248","144","0.48","342","7.8","470","3.015375","2434.295375","2"
"1170","26","124","72","193","4","319","120","0.47","445","7.9","605","3.411239","3089.781239","2"
"625","1","40","88","64","2","209","96","0.48","244","8.1","460","1.295335","1838.875335","1"
"213","4","42","23","5","1","7","17","0.54","201","8","200","0.1540061","721.6940061","1"
"1120","3","64","4","368","9","330","48","0.28","567","8.2","175","12.06053","2708.54053","3"
"533","6","100","28","55","1","184","41","0.42","195","7.5","365","1.252687","1517.172687","1"
"322","6","42","19","51","4","32","19","0.95","256","7.7","185","1.639986","946.289986","1"
"220","4","34","9","28","2","39","35","0.3","110","8","120","1.103259","610.403259","1"
"269","11","28","18","35","3","60","40","0.16","73","8.2","145","1.269004","691.629004","1"
"1074","14","44","146","133","9","347","113","0.05","439","7.7","710","2.170387","3038.920387","2"
"350","1","16","46","55","2","57","20","0.05","299","8","230","1.580279","1085.630279","1"
"1215","3","22","69","299","59","372","168","0.09","342","8.3","340","7.065974","2904.455974","3"
"501","3","84","27","64","9","121","9","0.13","275","8.4","320","1.554541","1423.084541","1"
"248","4","60","17","7","2","39","8","0.02","98","8.5","220","0.2054411","711.7254411","1"
"335","6","82","4","28","14","32","21","0.06","195","8.4","220","0.8191419","946.2791419","1"
"1081","7","112","153","58","4","510","94","0.11","238","7.9","910","0.8367934","3175.8467934","1"
"816","8","74","73","115","12","245","82","0.84","299","8.3","485","2.271393","2220.411393","2"
