pH,TDS,Turbidity,Phospate,Nitrate,Iron,COD(mg/L),Chlorine,Sodium,Class
7.6,973,0.16,0.012967275,8,0.328567635,422,2,12,1
7.6,975,3.17,0.01606578,7,0.332097354,427,4,2,1
7.5,755,2.53,0.019432808,7,0.338934167,398,2,16,2
7.6,686,4.15,0.018559338,7,0.303968775,409,4,12,1
7.6,858,3.9,0.002456291,8,0.383476411,390,4,17,0
7.6,904,1.28,0.015790427,8,0.400973617,409,3,19,1
7.5,736,0.28,0.023046307,8,0.322009519,399,1,6,2
7.6,864,2.48,0.019987521,8,0.392478921,416,2,1,1
7.6,961,4.03,0.007768421,6,0.359106231,411,2,3,1
7.5,684,2.78,0.015330086,6,0.324719183,424,1,7,1
7.6,972,3.96,0.01091017,8,0.400670272,404,4,20,1
7.6,641,2.51,0.003107497,8,0.342047805,403,2,1,1
7.6,810,1.3,0.002381162,6,0.318355347,391,3,6,0
7.5,884,0.84,0.00214567,8,0.324468546,411,1,8,1
7.6,914,0.13,0.016857015,8,0.333462644,399,2,13,0
7.6,977,3.97,0.014777164,6,0.407959437,417,2,6,1
7.5,800,3.03,0.007411807,6,0.382216114,422,2,20,1
7.6,859,3.94,0.019852366,8,0.379255107,395,4,8,2
7.6,876,4.07,0.027927974,8,0.370868366,396,2,14,2
7.6,633,0.56,0.011745596,7,0.401990274,428,3,15,1
7.5,759,3.82,0.01452052,7,0.337491384,418,2,1,1
7.6,692,2.84,0.029615256,7,0.330581013,392,2,18,2
7.6,797,0.81,0.005047227,7,0.326111989,398,4,13,2
7.5,648,1.34,0.012391562,6,0.345648285,396,2,20,2
7.6,799,0.4,0.022053793,7,0.320868416,399,3,4,2
7.6,841,2.45,0.017261924,8,0.375074691,406,4,16,1
7.6,664,0.42,0.028511251,7,0.358229779,416,4,18,1
7.5,635,1.87,0.018006295,8,0.333780903,417,3,17,1
7.6,662,0.9,0.00247762,8,0.313810629,405,3,19,1
7.6,890,3.96,0.012667473,6,0.391455406,418,2,2,1
7.5,883,1.14,0.019181902,8,0.385189014,428,4,2,1
7.6,716,2.16,0.023773943,8,0.409533496,424,3,9,1
7.6,725,3.36,0.020973659,6,0.312481345,430,2,15,1
7.6,906,1.32,0.021189259,7,0.302800874,422,3,13,1
7.5,624,2.73,0.019766443,8,0.356474433,405,1,8,1
7.4,900,3.73,0.022214922,6,0.312518062,390,4,3,0
7.4,805,2.84,0.008371531,6,0.317317386,422,1,19,1
7.6,792,1.81,0.025224441,8,0.34760324,423,2,8,1
7.5,905,3.11,0.010450331,6,0.38193739,428,4,16,1
7.6,727,3.07,0.025489906,8,0.398933366,423,4,20,1
7.4,811,4,0.024857676,8,0.35362752,405,1,16,1
7.5,834,1.71,0.019551217,8,0.306176572,419,3,10,1
7.6,809,0.4,0.007769649,8,0.311770514,390,2,17,2
7.6,720,0.36,0.000971821,6,0.325084938,401,2,18,1
7.5,638,1.41,0.027509616,6,0.306277973,412,2,7,1
7.4,893,2.32,0.00031749,8,0.396321764,414,4,7,1
7.5,762,1.05,0.029328146,8,0.402162516,414,2,5,1
7.6,674,3.88,0.01995723,7,0.388690047,394,2,19,2
7.6,750,2.59,0.004734833,7,0.301023239,412,4,15,1
7.5,905,0.86,0.007732307,7,0.397492888,393,4,10,0
7.4,845,0.42,0.026137963,6,0.338349784,394,2,20,2
7.5,835,3.55,0.028042566,7,0.337492622,413,1,2,1
7.6,958,1.12,0.015775387,8,0.409038799,413,4,2,1
7.6,746,2.56,0.002518174,8,0.393377336,409,2,5,1
7.5,954,1.91,0.025160909,8,0.350118504,390,3,18,0
7.6,911,0.47,0.008181532,7,0.342968948,404,2,14,1
7.6,941,3.55,0.027722614,8,0.393372305,393,3,10,0
7.5,676,3.86,0.001689374,8,0.330734512,397,1,15,0
7.6,719,1.78,0.014769153,8,0.368166802,405,3,13,1
7.6,814,1.9,0.017564866,8,0.394321293,393,3,17,2
7.6,913,3.36,0.012841646,6,0.384218498,403,1,11,1
7.5,728,3.05,0.02392679,8,0.319431008,401,2,19,1
7.6,645,3.1,0.020845277,7,0.323850631,390,2,17,2
7.6,834,2.36,0.024354274,6,0.334061995,428,3,14,1
7.5,776,0.73,0.008434494,8,0.374769119,404,4,12,1
7.6,963,0.24,0.011308114,7,0.307008715,412,1,17,1
7.6,706,1.07,0.002506087,7,0.307886923,418,3,7,1
7.6,643,0.1,0.022919451,6,0.35355685,409,4,2,1
7.6,679,0.63,0.011481674,8,0.382387354,430,1,16,1
7.5,866,3.56,0.009997604,6,0.343961177,419,4,4,1
7.4,919,0.81,0.000784215,6,0.336035137,406,4,20,1
7.4,963,3.98,0.000735597,7,0.329347432,414,4,2,1
7.6,962,3.72,0.0030369,7,0.391649845,402,3,11,1
7.5,833,2.36,0.013409535,7,0.352806458,419,4,13,1
7.6,962,0.6,0.020227136,7,0.319301751,399,4,17,0
7.6,908,3.79,0.004689324,6,0.371585988,404,4,14,1
7.5,633,2.09,0.016729958,8,0.324350454,409,3,5,1
7.6,646,2.29,0.013992039,7,0.394961545,419,4,2,1
7.6,726,1.88,0.003735737,6,0.308577301,425,2,19,1
7.6,902,2,0.016384812,8,0.32566988,420,4,20,1
7.5,841,2.08,0.00665956,8,0.36514214,422,2,12,1
7.6,829,3.94,0.017200349,8,0.331708714,414,4,7,1
7.6,723,0.26,0.02865141,7,0.367718699,410,1,8,1
7.5,962,1.93,0.021316738,8,0.329882896,404,2,5,1
7.6,801,3.86,0.008186533,8,0.378456221,405,1,18,1
7.6,883,1.37,0.010533803,7,0.324806544,396,3,14,2
7.6,746,2.78,0.005399648,7,0.352734002,404,3,19,1
7.5,804,1.64,0.026806563,7,0.303450292,426,4,14,1
